CSV_APN,FC_APN,Year,Match_Type,APN_Changed
1319-30-612-002,1319-30-612-000,2012,closest_3.1m,True
1319-30-612-005,1319-30-612-000,2012,closest_2.9m,True
1319-30-612-012,1319-30-610-001,2012,closest_2.9m,True
1319-30-612-008,1319-30-610-001,2012,closest_2.9m,True
1319-30-612-009,1319-30-612-000,2012,closest_2.9m,True
1319-30-612-010,1319-30-612-000,2012,closest_3.1m,True
035-296-14,035-301-01,2012,closest_15.2m,True
1319-30-612-001,1319-30-612-000,2012,closest_2.9m,True
1319-30-612-011,1319-30-612-000,2012,closest_3.1m,True
1319-30-612-003,1319-30-612-000,2012,closest_3.1m,True
030-421-02,030-421-01,2013,intersect,True
1318-15-711-031,1318-15-711-028,2013,intersect,True
123-152-08,12315208,2013,intersect,True
021-201-16,021-201-11,2013,intersect,True
023-341-20,023-341-03,2013,intersect,True
025-382-14,025-382-07,2013,intersect,True
130-332-10,130-332-09,2013,intersect,True
130-332-13,130-332-05,2013,intersect,True
085-180-018,085-180-014,2013,intersect,True
092-160-032,092-160-020,2013,intersect,True
116-220-062,116-220-060,2013,intersect,True
115-020-042,115-020-015,2013,intersect,True
117-071-052,117-071-041,2013,intersect,True
015-322-28,015-322-12,2013,intersect,True
033-574-07,033-574-02,2013,intersect,True
034-722-44,034-722-04,2013,intersect,True
029-620-01,029-381-50,2013,intersect,True
029-620-03,029-381-50,2013,intersect,True
029-620-10,029-381-50,2013,intersect,True
029-620-13,029-381-50,2013,intersect,True
029-620-14,029-381-50,2013,intersect,True
029-620-15,029-381-50,2013,intersect,True
025-224-20,025-224-18,2013,intersect,True
029-602-13,029-602-02,2013,intersect,True
125-172-33,125-172-32,2013,intersect,True
122-530-37,122-530-28,2013,intersect,True
029-630-03,029-450-06,2013,intersect,True
029-630-07,029-450-03,2013,intersect,True
029-630-08,029-095-06,2013,intersect,True
029-630-13,029-095-06,2013,intersect,True
029-630-15,029-095-06,2013,intersect,True
029-630-16,029-450-18,2013,intersect,True
029-630-17,029-450-36,2013,intersect,True
029-630-19,029-450-36,2013,intersect,True
029-630-20,029-450-37,2013,intersect,True
029-630-21,029-450-39,2013,intersect,True
029-630-23,029-450-39,2013,intersect,True
017-041-34,017-041-20,2013,intersect,True
031-085-23,031-085-22,2013,intersect,True
084-151-030,084-151-017,2013,intersect,True
093-042-032,093-042-015,2013,intersect,True
093-042-037,093-042-009,2013,intersect,True
117-230-008,117-230-004,2013,intersect,True
090-074-27,090-074-009,2013,intersect,True
098-210-039,098-210-008,2013,intersect,True
112-180-078,090-030-017,2013,intersect,True
1318-24-404-023,1318-24-404-016,2013,intersect,True
026-061-30,026-061-05,2013,intersect,True
021-321-35,021-321-30,2013,intersect,True
090-072-034,090-072-026,2013,intersect,True
090-072-040,090-072-026,2013,intersect,True
085-141-012,085-141-006,2013,intersect,True
