APN,YL,Units_CSV,Year,APN_fixed,FC_Units,COUNTY
123-131-02,2020 Final,1.0,2020,123-131-02,,
125-382-19,2020 Final,1.0,2020,125-382-19,,
125-462-08,2020 Final,1.0,2020,125-462-08,,
126-080-25,2020 Final,1.0,2020,126-080-25,,
126-082-49,2020 Final,1.0,2020,126-082-49,,
126-560-28,2020 Final,1.0,2020,126-560-28,,
126-560-37,2020 Final,1.0,2020,126-560-37,,
126-570-16,2020 Final,1.0,2020,126-570-16,,
129-022-07,2020 Final,4.0,2020,129-022-07,,
129-280-12,2020 Final,4.0,2020,129-280-12,,
129-280-13,2020 Final,4.0,2020,129-280-13,,
129-280-14,2020 Final,1.0,2020,129-280-14,,
129-280-15,2020 Final,1.0,2020,129-280-15,,
129-280-16,2020 Final,1.0,2020,129-280-16,,
129-280-17,2020 Final,1.0,2020,129-280-17,,
129-280-18,2020 Final,1.0,2020,129-280-18,,
129-280-19,2020 Final,1.0,2020,129-280-19,,
129-291-03,2020 Final,1.0,2020,129-291-03,,
129-291-13,2020 Final,1.0,2020,129-291-13,,
129-291-17,2020 Final,1.0,2020,129-291-17,,
129-291-20,2020 Final,1.0,2020,129-291-20,,
129-292-01,2020 Final,1.0,2020,129-292-01,,
129-292-02,2020 Final,1.0,2020,129-292-02,,
129-292-03,2020 Final,1.0,2020,129-292-03,,
129-292-06,2020 Final,1.0,2020,129-292-06,,
129-292-07,2020 Final,1.0,2020,129-292-07,,
129-292-10,2020 Final,1.0,2020,129-292-10,,
129-292-12,2020 Final,1.0,2020,129-292-12,,
129-292-14,2020 Final,1.0,2020,129-292-14,,
129-292-17,2020 Final,1.0,2020,129-292-17,,
129-292-18,2020 Final,1.0,2020,129-292-18,,
129-292-19,2020 Final,1.0,2020,129-292-19,,
129-292-20,2020 Final,1.0,2020,129-292-20,,
