CSV_APN,FC_APN,Year,match,APN_changed
084-191-001,084-191-003,2025,within,True
084-211-004,084-211-007,2025,within,True
085-343-024,085-343-026,2025,within,True
090-030-035,090-173-016,2025,within,True
090-030-044,090-030-046,2025,within,True
090-055-012,090-055-038,2025,within,True
090-067-020,090-067-035,2025,within,True
090-071-034,090-071-038,2025,within,True
090-073-019,090-073-021,2025,within,True
090-074-012,090-074-028,2025,within,True
090-102-010,090-102-044,2025,within,True
090-123-006,090-123-034,2025,within,True
090-124-018,090-124-046,2025,within,True
090-134-046,090-134-058,2025,within,True
090-162-016,090-162-045,2025,within,True
090-191-022,090-191-053,2025,within,True
090-191-023,090-191-053,2025,within,True
090-201-008,090-201-034,2025,within,True
090-222-060,090-222-061,2025,within,True
090-225-002,090-225-018,2025,within,True
090-231-036,090-231-052,2025,within,True
090-232-026,090-232-034,2025,within,True
090-261-019,090-261-035,2025,within,True
090-262-013,090-262-015,2025,within,True
090-271-015,090-262-016,2025,within,True
090-292-003,090-292-013,2025,within,True
090-321-006,090-321-026,2025,within,True
092-100-016,092-100-030,2025,within,True
092-120-007,092-120-058,2025,within,True
092-120-042,092-120-057,2025,within,True
092-142-010,092-142-028,2025,within,True
092-142-020,092-142-029,2025,within,True
092-152-015,092-152-038,2025,within,True
092-154-009,092-154-050,2025,within,True
092-190-052,092-190-067,2025,within,True
092-190-053,092-190-068,2025,within,True
092-200-009,092-200-033,2025,within,True
092-200-022,092-200-032,2025,within,True
092-234-012,092-234-024,2025,within,True
093-034-004,093-034-010,2025,within,True
093-042-021,093-042-043,2025,within,True
093-042-022,093-042-044,2025,within,True
093-083-008,093-083-045,2025,within,True
093-083-009,093-083-046,2025,within,True
093-083-010,093-083-047,2025,within,True
093-083-011,093-083-048,2025,within,True
093-083-012,093-083-051,2025,within,True
093-083-014,093-083-050,2025,within,True
093-083-015,093-083-044,2025,within,True
093-160-016,093-160-082,2025,within,True
093-194-007,093-194-017,2025,within,True
093-194-012,093-194-018,2025,within,True
094-032-004,094-032-020,2025,within,True
094-110-007,094-110-026,2025,within,True
094-122-001,094-122-062,2025,within,True
094-122-019,094-122-059,2025,within,True
094-173-005,094-173-026,2025,within,True
094-173-021,094-173-027,2025,within,True
094-200-049,094-200-061,2025,within,True
095-110-006,095-110-026,2025,within,True
095-130-007,095-130-014,2025,within,True
097-050-043,097-050-107,2025,within,True
097-073-032,097-073-047,2025,within,True
097-092-003,097-092-012,2025,within,True
097-100-022,097-100-046,2025,within,True
097-122-002,097-122-034,2025,within,True
097-122-013,097-122-033,2025,within,True
097-122-015,097-122-034,2025,within,True
097-122-028,097-122-034,2025,within,True
097-130-029,097-130-042,2025,within,True
097-164-006,097-164-013,2025,within,True
097-192-001,097-192-010,2025,within,True
097-193-004,097-200-028,2025,within,True
098-010-036,098-010-041,2025,within,True
098-010-037,098-010-042,2025,within,True
098-164-009,098-164-016,2025,within,True
098-165-002,098-165-007,2025,within,True
098-167-006,098-167-019,2025,within,True
098-192-002,098-192-011,2025,within,True
098-200-010,098-200-045,2025,within,True
098-200-025,098-200-046,2025,within,True
098-200-026,098-200-046,2025,within,True
098-210-030,098-360-001,2025,within,True
098-210-031,098-360-007,2025,within,True
098-231-024,098-231-039,2025,within,True
098-314-014,098-314-019,2025,within,True
112-060-017,112-060-034,2025,within,True
112-060-018,112-060-037,2025,within,True
112-070-002,112-070-034,2025,within,True
112-180-009,112-180-077,2025,within,True
112-190-040,112-190-064,2025,within,True
112-190-042,112-190-068,2025,within,True
112-190-044,112-190-045,2025,within,True
112-270-004,112-270-076,2025,within,True
115-030-035,115-030-100,2025,within,True
115-030-073,115-030-102,2025,within,True
115-040-075,115-040-081,2025,within,True
115-040-079,115-040-089,2025,within,True
115-050-039,115-050-052,2025,within,True
115-060-010,115-060-023,2025,within,True
115-060-018,115-060-022,2025,within,True
117-020-009,117-020-025,2025,within,True
117-071-015,117-071-053,2025,within,True
117-071-025,117-071-058,2025,within,True
117-100-004,117-100-088,2025,within,True
117-100-014,117-100-089,2025,within,True
117-100-015,117-100-089,2025,within,True
117-100-016,117-100-091,2025,within,True
117-100-017,117-100-091,2025,within,True
117-110-008,117-110-072,2025,within,True
117-110-023,117-110-075,2025,within,True
117-120-031,117-120-041,2025,within,True
117-150-040,117-150-048,2025,within,True
117-160-013,117-150-049,2025,within,True
117-180-037,117-180-065,2025,within,True
117-180-038,117-180-065,2025,within,True
122-100-04,122-100-29,2025,within,True
122-100-15,122-100-31,2025,within,True
122-100-23,122-100-27,2025,within,True
122-100-24,122-100-27,2025,within,True
122-181-24,122-181-77,2025,within,True
122-181-37,122-251-19,2025,within,True
122-181-64,122-181-79,2025,within,True
122-181-65,122-181-79,2025,within,True
122-530-25,122-530-38,2025,within,True
122-530-26,122-530-38,2025,within,True
123-021-04,123-201-02,2025,within,True
123-032-01,123-032-32,2025,within,True
123-032-11,123-032-28,2025,within,True
123-032-12,123-032-28,2025,within,True
123-032-13,123-032-29,2025,within,True
123-032-21,123-032-32,2025,within,True
123-041-05,123-041-28,2025,within,True
123-041-19,123-041-26,2025,within,True
123-071-35,123-071-39,2025,within,True
123-131-02,123-131-08,2025,within,True
123-131-05,123-131-10,2025,within,True
123-143-11,123-143-21,2025,within,True
124-860-01,124-860-07,2025,within,True
124-860-02,124-860-06,2025,within,True
124-860-03,124-860-05,2025,within,True
125-141-30,125-141-35,2025,within,True
125-141-31,125-141-36,2025,within,True
125-142-01,125-156-09,2025,within,True
125-142-02,125-156-10,2025,within,True
125-142-03,125-156-11,2025,within,True
125-382-19,125-382-21,2025,within,True
125-462-08,125-462-10,2025,within,True
126-080-25,126-080-28,2025,within,True
126-082-49,126-082-67,2025,within,True
126-560-28,126-560-42,2025,within,True
126-560-37,126-560-41,2025,within,True
126-570-16,126-570-37,2025,within,True
